start,stop,Fst,replicate
723200,755200,0.22210444646274627,0
729600,761600,0.20624606958556915,0
736000,768000,0.19078695914975585,0
742400,774400,0.16172957653934053,0
748800,780800,0.15873899893566226,0
755200,787200,0.15998769378099992,0
761600,793600,0.16147400854926922,0
768000,800000,0.16043702612425004,0
774400,806400,0.17119909109443648,0
780800,812800,0.17858222065853205,0
787200,819200,0.17030835063159425,0
793600,825600,0.15743957172942225,0
800000,832000,0.1528489116372828,0
806400,838400,0.15579245911228154,0
812800,844800,0.15286825859109884,0
819200,851200,0.15279503421568028,0
825600,857600,0.16477763397832768,0
832000,864000,0.1657176045351159,0
838400,870400,0.18968234285992988,0
844800,876800,0.21425142476766795,0
851200,883200,0.2126720736369043,0
857600,889600,0.22326985830318696,0
864000,896000,0.21554450769185413,0
870400,902400,0.20517912060432708,0
876800,908800,0.1966256638937254,0
883200,915200,0.16604178997996674,0
889600,921600,0.1632758078899091,0
896000,928000,0.16006649578368898,0
902400,934400,0.1591174302027407,0
908800,940800,0.19059390308311647,0
915200,947200,0.20525205197950916,0
921600,953600,0.20927036520358,0
928000,960000,0.2107524710093953,0
934400,966400,0.2020756287992898,0
940800,972800,0.20077490985372676,0
947200,979200,0.18565674611824715,0
953600,985600,0.15456753101423584,0
960000,992000,0.14551368948917914,0
966400,998400,0.14291259528329028,0
972800,1004800,0.14276137739843112,0
979200,1011200,0.15121281853375773,0
985600,1017600,0.1457111402426288,0
992000,1024000,0.15942210573841253,0
998400,1030400,0.1683714144788412,0
1004800,1036800,0.18143630975990302,0
1011200,1043200,0.18590208457543336,0
1017600,1049600,0.18165921741384344,0
1024000,1056000,0.1702517322693373,0
1030400,1062400,0.17292705838207414,0
1036800,1068800,0.17770227536442892,0
1043200,1075200,0.171111104181828,0
1049600,1081600,0.17562552755312244,0
1056000,1088000,0.1810057091523362,0
1062400,1094400,0.19620753185127465,0
1068800,1100800,0.1890601275558007,0
1075200,1107200,0.1857324777261216,0
1081600,1113600,0.19453847346008032,0
1088000,1120000,0.1882165513669168,0
1094400,1126400,0.18017114160487668,0
1100800,1132800,0.17320305215236553,0
1107200,1139200,0.17086829569154516,0
1113600,1145600,0.1716274168057163,0
1120000,1152000,0.15864049866290775,0
1126400,1158400,0.16067306713697166,0
1132800,1164800,0.17289734900232764,0
1139200,1171200,0.17108416667602308,0
1145600,1177600,0.16721297907417285,0
1152000,1184000,0.15838378632445108,0
1158400,1190400,0.14915540961868404,0
1164800,1196800,0.16032859720544235,0
1171200,1203200,0.1551786340949458,0
1177600,1209600,0.15606243222656868,0
1184000,1216000,0.1671265648158212,0
1190400,1222400,0.17718652127680565,0
1196800,1228800,0.18743732154199005,0
1203200,1235200,0.17929577587038625,0
1209600,1241600,0.1778741474704366,0
1216000,1248000,0.18240100176275667,0
1222400,1254400,0.1791797182272749,0
1228800,1260800,0.18439992980632747,0
1235200,1267200,0.1897558252915207,0
1241600,1273600,0.20555955826108174,0
1248000,1280000,0.1981650276471081,0
1254400,1286400,0.20695319485470068,0
1260800,1292800,0.21705429133778698,0
1267200,1299200,0.20767706743013734,0
1273600,1305600,0.21030221022078865,0
1280000,1312000,0.19524192489649936,0
1286400,1318400,0.19792768540688654,0
1292800,1324800,0.18016037883133945,0
1299200,1331200,0.1577374112154481,0
1305600,1337600,0.1585556676971578,0
1312000,1344000,0.15121825371943495,0
1318400,1350400,0.1567647975119026,0
1324800,1356800,0.1612885599214711,0
1331200,1363200,0.17565602229536964,0
1337600,1369600,0.19102383633093864,0
1344000,1376000,0.18787789713486505,0
1350400,1382400,0.18610724230651807,0
1356800,1388800,0.17534685777281178,0
1363200,1395200,0.179938079476295,0
1369600,1401600,0.17888310460282272,0
1376000,1408000,0.17408210287283793,0
1382400,1414400,0.17576585307569104,0
1388800,1420800,0.18754423294143552,0
1395200,1427200,0.19516614885159125,0
1401600,1433600,0.19146417048171488,0
1408000,1440000,0.1867019843821092,0
1414400,1446400,0.19465258561585,0
1420800,1452800,0.19396894626534375,0
1427200,1459200,0.1874954902172136,0
1433600,1465600,0.1839665844462641,0
1440000,1472000,0.17204173752825005,0
1446400,1478400,0.16351348814165528,0
1452800,1484800,0.15211501816744658,0
1459200,1491200,0.15339586948769773,0
1465600,1497600,0.1542290721364521,0
1472000,1504000,0.16039301205386505,0
1478400,1510400,0.1806819221418077,0
1484800,1516800,0.19435181288173972,0
1491200,1523200,0.19787177483352225,0
1497600,1529600,0.2016732489669647,0
1504000,1536000,0.19963075389476975,0
1510400,1542400,0.19729468727552574,0
1516800,1548800,0.1850101966558047,0
1523200,1555200,0.1833523855510393,0
1529600,1561600,0.182871952615342,0
1536000,1568000,0.17920483325145473,0
1542400,1574400,0.18199532757803547,0
1548800,1580800,0.1768700095445368,0
1555200,1587200,0.17230705428721527,0
1561600,1593600,0.17000222783980018,0
1568000,1600000,0.17413663305406152,0
1574400,1606400,0.17110357940910292,0
1580800,1612800,0.1595615508351869,0
1587200,1619200,0.16446637403144568,0
1593600,1625600,0.1719747307596394,0
1600000,1632000,0.16793633750519954,0
1606400,1638400,0.1682340631828068,0
1612800,1644800,0.17659510237468834,0
1619200,1651200,0.1789029907397136,0
1625600,1657600,0.17229190685267626,0
1632000,1664000,0.1845698788967169,0
1638400,1670400,0.1918568525843771,0
1644800,1676800,0.18458920889526945,0
1651200,1683200,0.1863773746254114,0
1657600,1689600,0.19248498459465926,0
1664000,1696000,0.19189691255261715,0
